1girl,0,4114588,"1girls,sole_female"
highres,5,3008413,"high_res,high_resolution,hires"
long_hair,0,2898315,longhair
commentary_request,5,2610959,
breasts,0,2252741,"boobs,breast,breats,oppai,tits"
looking_at_viewer,0,2017032,pov_eye_contact
blush,0,1987494,"blushing,flush,flushed"
smile,0,1847264,":),:},smiling"
short_hair,0,1530601,"short-hair,shorthair"
open_mouth,0,1521316,mouth_open
bangs,0,1446592,
blue_eyes,0,1192965,"blueeyes,light_blue_eyes"
multiple_girls,0,1097189,
skirt,0,1072680,
blonde_hair,0,1070839,"blond,blond_hair,blonde,blondehair,gold_hair,yellow_hair"
large_breasts,0,1051375,"big_breasts,large_boobs,large_breast,large_tits"
brown_hair,0,1046479,"brown-hair,brownhair,brunette,chocolate_hair"
simple_background,0,1033328,
shirt,0,956884,"shirt_only,shirts"
black_hair,0,951555,"black-hair,blackhair,dark_hair"
hair_ornament,0,909358,"hair_accessories,hair_accessory,hair_decs,hair_ornaments"
absurdres,5,889451,"insaneres,very_high_resolution"
red_eyes,0,874986,"red_eye,redeyes"
thighhighs,0,871535,"naked_thighhighs,nude_thighhighs,stocking,stockings,thigh_highs,thighhgihs,thighhigh,thighhighs_only,thighhigs,thighighs"
hat,0,860554,
gloves,0,859727,glove
1boy,0,852461,"1boys,sole_male"
bad_id,5,850533,bad_skeb_id
long_sleeves,0,847925,long_sleeve
white_background,0,842744,
dress,0,813386,
original,3,800843,original_character
ribbon,0,776028,ribbons
bow,0,773755,bows
touhou,3,769563,toho
navel,0,762061,"belly_button,bellybutton"
bad_pixiv_id,5,714106,
2girls,0,713683,"2_girls,2girl"
photoshop_(medium),5,702997,
holding,0,696989,"hold,holding_object"
animal_ears,0,695502,kemonomimi
cleavage,0,672733,"clevage,overboob"
hair_between_eyes,0,661745,bangs_between_eyes
bare_shoulders,0,637748,"bare_shoulder,bareshoulders"
child-like,0,211,"childish,child_like,kidish"
commentary,5,635624,commentaries
brown_eyes,0,632789,"browneyes,light_brown_eyes"
twintails,0,632535,"twin_tails,twintaiks,twintail"
medium_breasts,0,624978,
jewelry,0,622350,"jewelery,jewellery"
sitting,0,612015,"sit,sitting_down"
very_long_hair,0,601723,hair_past_waist
underwear,0,596262,"shitagi,undergarments"
closed_mouth,0,589051,
school_uniform,0,569565,"school_girl,school_uniforms,schoolgirl,seifuku"
green_eyes,0,568502,"green-eyes,greeneyes"
blue_hair,0,547897,bluehair
standing,0,532306,
purple_eyes,0,520583,"light_purple_eyes,purpleeyes,violet_eyes"
collarbone,0,504733,"clavicle,clavicles,collarbones"
panties,0,495559,"pantie,pantsu,panty"
monochrome,0,470985,"monochome,monochorme,monochromatic"
tail,0,470651,"animal_tail,animal_tails,shippo,tails"
jacket,0,469260,
translated,5,459108,"translatied,translation"
swimsuit,0,457313,"bathing_suit,mizugi,swim_suit,swimsuits"
full_body,0,446282,
closed_eyes,0,442906,eyes_closed
hair_ribbon,0,440003,"hair_ribbons,ribbon_in_hair,ribbons_in_hair"
kantai_collection,3,436085,"kancolle,kankore"
yellow_eyes,0,433326,"amber_eyes,gold_eyes,golden_eyes,hazel_eyes,hazeleyes,yelloweyes"
weapon,0,420275,weapons
ponytail,0,419615,"long_ponytail,pony_tail"
upper_body,0,417829,bust
purple_hair,0,415161,"lavender_hair,purple-hair,purplehair,violet_hair"
white_shirt,0,413176,white_blouse
pink_hair,0,412002,"magenta_hair,pinkhair"
ass,0,411747,"butt,butt_cheeks,buttocks,oshiri,rearend"
comic,0,405140,"comics,manga"
braid,0,404122,"braided_hair,braids,hair_braid"
flower,0,400183,flowers
ahoge,0,395736,
:d,0,376147,
short_sleeves,0,375920,
hair_bow,0,372662,"hair_bows,hairbow"
greyscale,0,371431,"b&w,black_and_white,grayscale"
hetero,0,369606,
white_hair,0,361604,whitehair
male_focus,0,359240,"male,male_only,man,men"
heart,0,350239,"<3,hearts"
sidelocks,0,336241,"forelocks,payot"
thighs,0,332714,thigh
red_hair,0,327685,"red_head,redhair,redhead"
cowboy_shot,0,324472,
pleated_skirt,0,322440,
sweat,0,322381,sweating
hairband,0,320155,hair_band
multicolored_hair,0,318977,multicolor_hair
translation_request,5,318605,"translate_request,translation_requested,translationrequest"
earrings,0,316173,"aqua_earrings,black_earrings,blue_earrings,brown_earrings,ear_ring,ear_rings,earring,green_earrings,grey_earrings,pink_earrings,purple_earrings,red_earrings,white_earrings,yellow_earrings"
small_breasts,0,315987,
grey_hair,0,314794,gray_hair
boots,0,313016,"boot,naked_boots"
lying,0,303118,"laying,laying_down,lying_down"
censored,0,300048,"censor,censoring"
outdoors,0,296370,"outdoor,outside"
parted_lips,0,292170,
detached_sleeves,0,289409,"armsleeves,detached_sleeve,naked_sleeves"
one_eye_closed,0,287946,wink
food,0,286933,
japanese_clothes,0,282381,"japanese_clothing,traditional_japanese_clothes,wafuku"
multiple_boys,0,278355,
green_hair,0,278290,greenhair
open_clothes,0,275169,open_clothing
sky,0,271218,
necktie,0,271120,"neck_tie,tie"
horns,0,268888,
shoes,0,265277,shoe
fate_(series),3,260162,
glasses,0,258562,"megane,meganekko,meganeko"
barefoot,0,252703,"bare_feet,bare_foot,barefeet"
serafuku,0,246424,sailor_fuku
teeth,0,245489,bared_teeth
solo_focus,0,238837,
sleeveless,0,238082,no_sleeves
day,0,238001,
alternate_costume,0,236618,"alternate_outfit,alternate_outfit,alternative_costume"
tongue,0,235358,tongues
pointy_ears,0,228958,"elf_ears,elven_ears,long_ears,pointed_ears,pointy-ears,pointy_ear"
socks,0,227884,"leghighs,naked_socks,sock"
black_gloves,0,225896,black_glove
elbow_gloves,0,218936,"long_gloves,opera_gloves"
